Model,mAP50,mAP50-95,Precision,Recall
Visible_v8s,0.9564,0.8327,0.7814,1.0
Infrared_v8s,0.2293,0.0948,0.3368,0.4
Fused_SF_v8s,0.8451,0.6504,0.842,0.7994
Fused_MGF_v8s,0.8369,0.5965,0.9578,0.625
Fused_Gradient_Advanced_v8s,0.3556,0.2586,0.3414,0.38
