epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1396.42,0.76786,0.6181,0.93863,0.34611,0.26471,0.27397,0.207,1.18143,1.87069,1.13744,0.000742625,0.000742625,0.000742625
43,1427.18,0.81301,0.65607,0.92892,0.35819,0.23529,0.2504,0.18837,1.14398,2.08897,1.14324,0.00073025,0.00073025,0.00073025
44,1458.9,0.71195,0.57999,0.9093,0.3224,0.23529,0.22921,0.17962,1.22388,2.23783,1.21084,0.000717875,0.000717875,0.000717875
45,1489.82,0.67085,0.52418,0.89866,0.3224,0.23529,0.22921,0.17962,1.22388,2.23783,1.21084,0.0007055,0.0007055,0.0007055
46,1520.34,0.61462,0.54623,0.87957,0.34649,0.20588,0.22675,0.16374,1.23186,2.17366,1.21889,0.000693125,0.000693125,0.000693125
47,1551.04,0.75706,0.55336,0.92051,0.36056,0.20588,0.23194,0.1668,1.22211,2.24333,1.19185,0.00068075,0.00068075,0.00068075
48,1581.74,0.73017,0.56103,0.89961,0.33989,0.26471,0.25039,0.17348,1.19112,2.15577,1.16158,0.000668375,0.000668375,0.000668375
49,1612.05,0.70287,0.528,0.89473,0.33989,0.26471,0.25039,0.17348,1.19112,2.15577,1.16158,0.000656,0.000656,0.000656
50,1643.27,0.74107,0.53273,0.92255,0.30439,0.32052,0.26433,0.18581,1.21252,2.04559,1.18376,0.000643625,0.000643625,0.000643625
51,1676.95,0.703,0.5393,0.90797,0.36543,0.31972,0.3062,0.21612,1.1932,1.96767,1.16204,0.00063125,0.00063125,0.00063125
52,1711.54,0.65728,0.54951,0.86249,0.34061,0.32353,0.32281,0.21799,1.26068,1.85093,1.18037,0.000618875,0.000618875,0.000618875
53,1740.17,0.67731,0.53688,0.9095,0.34061,0.32353,0.32281,0.21799,1.26068,1.85093,1.18037,0.0006065,0.0006065,0.0006065
