,Image,Yang,SSIM,Entropy,MI,Qabf
Fused_SF,,130.45754777734928,0.9547598405172691,4.21991448410294,3.637243453912815,-51.849464416503906
Fused_Laplacian,,199.2616588419134,0.5511556714024836,4.528995318689242,1.5853594136078966,-376.3211669921875
Fused_Gradient,,185.05068111419678,0.5835009597564279,4.605324774071821,1.5153092285118426,-231.162841796875
Fused_MGF,,54.178894199024555,0.7459327495732989,4.723270436129555,1.27260717624419,-55.15476989746094
